wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
dolnośląskie;średzki;6;1.08;;;;13;16;251;18;7;11;0;t0218
dolnośląskie;świdnicki;20;1.28;;;;12;34;827;61;20;40;1;t0219
dolnośląskie;trzebnicki;19;2.22;;;;8;25;372;69;20;49;0;t0220
dolnośląskie;wałbrzyski;10;1.80;;;;10;11;312;29;10;19;0;t0221
dolnośląskie;wołowski;14;3.00;1;1;;5;13;226;33;16;17;0;t0222
dolnośląskie;wrocławski;26;1.69;1;;1;20;50;820;131;27;102;2;t0223
dolnośląskie;ząbkowicki;11;1.71;;;;5;5;212;37;11;26;0;t0224
dolnośląskie;zgorzelecki;7;0.79;2;2;;10;40;457;24;7;17;0;t0225
dolnośląskie;złotoryjski;5;1.16;;;;4;5;304;13;5;8;0;t0226
dolnośląskie;Jelenia Góra;12;1.52;;;;4;12;276;37;13;24;0;t0261
dolnośląskie;Legnica;14;1.41;;;;9;24;459;48;14;30;4;t0262
dolnośląskie;Wrocław;153;2.38;1;1;;72;178;2590;752;164;578;10;t0264
dolnośląskie;Wałbrzych;10;0.90;1;1;;17;21;393;90;11;79;0;t0265
kujawsko-pomorskie;aleksandrowski;22;4.00;;;;11;16;219;64;38;26;0;t0401
kujawsko-pomorskie;brodnicki;25;3.16;;;;19;38;504;62;25;36;1;t0402
kujawsko-pomorskie;bydgoski;41;3.43;3;;3;57;70;1321;141;45;88;8;t0403
kujawsko-pomorskie;chełmiński;38;7.33;;;;24;32;432;141;61;79;1;t0404
kujawsko-pomorskie;golubsko-dobrzyński;9;2.00;;;;8;16;216;28;9;18;1;t0405
kujawsko-pomorskie;grudziądzki;15;3.73;2;1;1;13;38;419;57;16;40;1;t0406
kujawsko-pomorskie;inowrocławski;89;5.59;2;;2;70;63;1062;240;108;125;7;t0407
kujawsko-pomorskie;lipnowski;6;0.91;;;;7;15;369;20;6;14;0;t0408
kujawsko-pomorskie;mogileński;13;2.86;;;;5;16;238;29;17;12;0;t0409
kujawsko-pomorskie;nakielski;36;4.18;2;;2;42;43;821;95;36;57;2;t0410
kujawsko-pomorskie;radziejowski;10;2.49;;;;1;36;218;22;10;12;0;t0411
kujawsko-pomorskie;rypiński;8;1.84;;;;6;7;170;26;8;18;0;t0412
kujawsko-pomorskie;sępoleński;8;1.95;;;;19;46;359;31;8;22;1;t0413
kujawsko-pomorskie;świecki;24;2.43;2;;2;43;59;950;78;26;49;3;t0414
kujawsko-pomorskie;toruński;43;3.95;;;;53;66;1125;152;54;98;0;t0415
kujawsko-pomorskie;tucholski;11;2.28;1;;1;18;36;453;34;11;22;1;t0416
kujawsko-pomorskie;wąbrzeski;6;1.76;;;;7;11;213;28;7;20;1;t0417
kujawsko-pomorskie;włocławski;12;1.40;4;1;3;19;32;500;30;13;15;2;t0418
kujawsko-pomorskie;żniński;24;3.43;;;;19;46;505;50;26;20;4;t0419
kujawsko-pomorskie;Bydgoszcz;150;4.33;7;1;6;223;233;2952;476;160;297;19;t0461
kujawsko-pomorskie;Grudziądz;37;3.93;1;1;;44;96;849;83;37;45;1;t0462
kujawsko-pomorskie;Toruń;108;5.37;1;;1;99;139;1559;274;113;159;2;t0463
kujawsko-pomorskie;Włocławek;32;2.93;2;;2;32;45;693;64;33;29;2;t0464
lubelskie;bialski;15;1.36;;;;11;28;381;58;17;39;2;t0601
lubelskie;biłgorajski;2;0.20;1;1;;13;12;159;18;2;16;0;t0602
lubelskie;chełmski;7;0.90;;;;14;23;407;47;8;37;2;t0603
lubelskie;hrubieszowski;1;0.16;2;;2;9;25;294;23;1;22;0;t0604
lubelskie;janowski;1;0.22;;;;4;2;78;17;1;16;0;t0605
lubelskie;krasnostawski;17;2.70;2;2;;12;33;518;34;18;15;1;t0606
lubelskie;kraśnicki;14;1.47;10;1;9;11;34;315;43;16;27;0;t0607
lubelskie;lubartowski;7;0.79;1;1;;10;18;379;54;7;46;1;t0608
lubelskie;lubelski;29;1.86;2;;2;27;71;796;95;31;63;1;t0609
lubelskie;łęczyński;14;2.44;;;;19;31;381;57;16;41;0;t0610
lubelskie;łukowski;21;1.97;;;;8;7;240;88;23;65;0;t0611
lubelskie;opolski;6;1.02;1;;1;19;19;298;22;7;15;0;t0612
lubelskie;parczewski;3;0.87;;;;1;5;107;15;3;12;0;t0613
lubelskie;puławski;22;1.95;;;;18;50;582;103;24;74;5;t0614
lubelskie;radzyński;1;0.17;1;;1;1;7;168;20;1;19;0;t0615
lubelskie;rycki;12;2.15;;;;28;11;192;41;13;28;0;t0616
lubelskie;świdnicki;31;4.32;7;7;;24;42;569;75;32;40;3;t0617
lubelskie;tomaszowski;2;0.24;;;;7;18;210;13;2;11;0;t0618
lubelskie;włodawski;6;1.57;1;1;;11;14;188;21;6;15;0;t0619
lubelskie;zamojski;6;0.57;;;;6;16;249;39;7;32;0;t0620
lubelskie;Biała Podlaska;15;2.62;1;;1;20;17;231;70;16;51;3;t0661
lubelskie;Chełm;19;3.09;1;;1;28;41;416;64;20;44;0;t0662
lubelskie;Lublin;94;2.77;10;2;8;100;155;1650;402;100;298;4;t0663
lubelskie;Zamość;12;1.90;;;;12;24;203;64;12;52;0;t0664
lubuskie;gorzowski;22;3.05;;;;16;18;392;56;24;32;0;t0801
lubuskie;krośnieński;26;4.75;;;;15;22;548;46;30;14;2;t0802
lubuskie;międzyrzecki;27;4.71;;;;9;18;350;73;30;41;2;t0803
lubuskie;nowosolski;16;1.86;1;1;;6;14;343;47;17;30;0;t0804
lubuskie;słubicki;22;4.69;;;;13;43;496;57;22;34;1;t0805
lubuskie;strzelecko-drezdenecki;23;4.71;;;;22;8;230;56;26;25;5;t0806
lubuskie;sulęciński;22;6.27;;;;9;15;352;59;23;36;0;t0807
lubuskie;świebodziński;18;3.23;;;;11;35;401;75;18;54;3;t0808
lubuskie;zielonogórski;29;3.83;;;;20;16;533;94;33;61;0;t0809
lubuskie;żagański;10;1.27;;;;7;15;276;40;10;29;1;t0810
lubuskie;żarski;25;2.61;;;;8;27;371;76;32;44;0;t0811
lubuskie;wschowski;5;1.29;;;;5;3;169;22;5;17;0;t0812
lubuskie;Gorzów Wielkopolski;33;2.68;;;;44;40;599;89;40;49;0;t0861
lubuskie;Zielona Góra;73;5.17;;;;32;41;852;205;78;125;2;t0862
łódzkie;bełchatowski;10;0.89;;;;5;17;323;72;11;58;3;t1001
łódzkie;kutnowski;14;1.46;4;4;;25;23;480;66;16;50;0;t1002
łódzkie;łaski;17;3.41;;;;8;19;166;37;17;20;0;t1003
łódzkie;łęczycki;5;1.01;;;;8;24;339;13;6;7;0;t1004
łódzkie;łowicki;8;1.03;;;;10;9;303;39;8;30;1;t1005
łódzkie;łódzki wschodni;21;2.90;;;;30;26;372;71;21;47;3;t1006
łódzkie;opoczyński;7;0.92;;;;7;8;106;24;7;17;0;t1007
łódzkie;pabianicki;73;6.12;;;;24;48;640;186;77;103;6;t1008
łódzkie;pajęczański;6;1.17;;;;4;5;133;26;7;18;1;t1009
łódzkie;piotrkowski;20;2.19;;;;19;21;326;58;20;38;0;t1010
łódzkie;poddębicki;9;2.19;;;;6;17;290;46;10;34;2;t1011
łódzkie;radomszczański;19;1.69;;;;6;23;297;91;23;66;2;t1012
łódzkie;rawski;4;0.82;1;;1;7;7;293;15;4;11;0;t1013
łódzkie;sieradzki;21;1.79;;;;10;31;479;81;21;59;1;t1014
łódzkie;skierniewicki;4;1.05;;;;3;14;222;17;4;11;2;t1015
łódzkie;tomaszowski;28;2.41;;;;10;24;488;100;31;69;0;t1016
łódzkie;wieluński;11;1.45;;;;11;42;224;33;13;18;2;t1017
łódzkie;wieruszowski;5;1.19;;;;3;11;153;23;5;18;0;t1018
łódzkie;zduńskowolski;10;1.51;1;;1;6;8;241;46;11;35;0;t1019
łódzkie;zgierski;53;3.19;;;;47;67;1004;189;57;132;0;t1020
łódzkie;brzeziński;10;3.25;1;1;;2;15;137;25;10;15;0;t1021
łódzkie;Łódź;342;5.05;;;;262;308;3936;1212;354;829;29;t1061
łódzkie;Piotrków Trybunalski;27;3.71;3;2;1;14;29;360;63;27;35;1;t1062
łódzkie;Skierniewice;15;3.13;;;;8;23;291;37;15;22;0;t1063
małopolskie;bocheński;1;0.09;;;;6;24;166;25;1;24;0;t1201
małopolskie;brzeski;3;0.32;;;;4;9;123;36;3;33;0;t1202
małopolskie;chrzanowski;7;0.56;;;;15;27;286;52;7;45;0;t1203
małopolskie;dąbrowski;;;;;;1;12;70;12;0;9;3;t1204
małopolskie;gorlicki;1;0.09;;;;6;7;162;28;1;26;1;t1205
małopolskie;krakowski;25;0.89;;;;42;63;679;125;26;94;5;t1206
małopolskie;limanowski;7;0.53;1;;1;2;8;108;38;11;27;0;t1207
małopolskie;miechowski;3;0.62;;;;4;2;71;15;4;10;1;t1208
małopolskie;myślenicki;7;0.55;;;;7;21;207;36;8;28;0;t1209
małopolskie;nowosądecki;2;0.09;;;;7;16;167;60;2;50;8;t1210
małopolskie;nowotarski;3;0.16;;;;3;1;81;20;3;16;1;t1211
małopolskie;olkuski;7;0.63;;;;5;12;168;29;8;21;0;t1212
małopolskie;oświęcimski;17;1.11;;;;14;29;331;55;17;38;0;t1213
małopolskie;proszowicki;1;0.23;;;;3;2;56;16;1;15;0;t1214
małopolskie;suski;5;0.59;;;;6;9;127;23;6;16;1;t1215
małopolskie;tarnowski;6;0.30;;;;7;23;293;55;9;45;1;t1216
małopolskie;tatrzański;1;0.15;;;;1;6;128;17;1;16;0;t1217
małopolskie;wadowicki;7;0.44;;;;17;48;361;46;8;36;2;t1218
małopolskie;wielicki;11;0.85;;;;14;18;346;56;11;43;2;t1219
małopolskie;Kraków;81;1.04;6;6;;127;158;2071;599;81;501;17;t1261
małopolskie;Nowy Sącz;7;0.84;;;;5;4;67;43;8;33;2;t1262
małopolskie;Tarnów;8;0.74;;;;10;13;162;50;8;42;0;t1263
mazowieckie;białobrzeski;5;1.50;;;;4;7;187;24;6;16;2;t1401
mazowieckie;ciechanowski;11;1.23;;;;21;28;440;46;12;31;3;t1402
mazowieckie;garwoliński;5;0.46;1;;1;5;14;177;47;6;41;0;t1403
mazowieckie;gostyniński;4;0.89;2;;2;2;9;169;20;4;16;0;t1404
mazowieckie;grodziski;26;2.69;1;;1;34;44;863;79;29;50;0;t1405
mazowieckie;grójecki;43;4.38;;;;24;19;882;103;45;55;3;t1406
mazowieckie;kozienicki;8;1.34;2;;2;7;27;326;44;9;35;0;t1407
mazowieckie;legionowski;34;2.85;;;;40;66;811;161;38;114;9;t1408
mazowieckie;lipski;9;2.67;;;;2;10;101;26;9;17;0;t1409
mazowieckie;łosicki;3;0.98;;;;3;30;118;13;4;9;0;t1410
mazowieckie;makowski;6;1.34;;;;4;5;157;22;8;14;0;t1411
mazowieckie;miński;11;0.71;;;;33;31;543;90;13;72;5;t1412
mazowieckie;mławski;4;0.55;1;;1;10;14;571;17;5;12;0;t1413
mazowieckie;nowodworski;22;2.77;;;;9;30;372;90;25;65;0;t1414
mazowieckie;ostrołęcki;3;0.34;;;;8;7;259;19;3;16;0;t1415
mazowieckie;ostrowski;4;0.55;;;;4;16;266;35;6;28;1;t1416
mazowieckie;otwocki;31;2.49;;;;52;30;745;226;33;187;6;t1417
mazowieckie;piaseczyński;78;4.12;1;;1;74;89;1295;300;86;202;12;t1418
mazowieckie;płocki;16;1.44;;;;25;31;480;42;16;26;0;t1419
mazowieckie;płoński;32;3.68;;;;12;14;525;98;34;62;2;t1420
mazowieckie;pruszkowski;55;3.30;;;;65;74;1451;208;57;149;2;t1421
mazowieckie;przasnyski;1;0.19;;;;18;19;353;16;1;14;1;t1422
mazowieckie;przysuski;4;0.97;;;;2;11;73;17;4;13;0;t1423
mazowieckie;pułtuski;4;0.77;;;;5;5;192;37;5;32;0;t1424
mazowieckie;radomski;15;0.99;;;;18;47;432;57;17;38;2;t1425
mazowieckie;siedlecki;3;0.37;1;;1;6;7;267;24;3;19;2;t1426
mazowieckie;sierpecki;7;1.35;1;;1;11;7;226;13;7;6;0;t1427
mazowieckie;sochaczewski;19;2.24;;;;22;13;468;82;20;60;2;t1428
mazowieckie;sokołowski;4;0.75;;;;4;10;114;19;5;13;1;t1429
mazowieckie;szydłowiecki;1;0.25;;;;1;5;85;12;1;11;0;t1430
mazowieckie;warszawski zachodni;37;3.10;;;;43;37;961;157;44;110;3;t1432
mazowieckie;węgrowski;7;1.07;1;;1;5;14;264;31;8;22;1;t1433
mazowieckie;wołomiński;30;1.19;;;;61;94;1441;188;34;151;3;t1434
mazowieckie;wyszkowski;14;1.88;;;;7;23;223;28;14;14;0;t1435
mazowieckie;zwoleński;1;0.28;;;;1;9;192;24;2;21;1;t1436
mazowieckie;żuromiński;4;1.04;;;;3;9;136;13;5;8;0;t1437
mazowieckie;żyrardowski;23;3.04;;;;18;29;419;56;26;30;0;t1438
mazowieckie;Ostrołęka;7;1.35;;;;2;16;122;28;9;18;1;t1461
mazowieckie;Płock;28;2.35;;;;52;49;596;69;28;41;0;t1462
mazowieckie;Radom;30;1.42;1;;1;44;37;665;252;32;215;5;t1463
mazowieckie;Siedlce;11;1.41;;;;8;17;278;37;12;25;0;t1464
mazowieckie;Warszawa;506;2.82;8;;8;545;599;9370;2873;542;2236;95;t1465
opolskie;brzeski;18;2.01;;;;4;41;340;46;20;25;1;t1601
opolskie;głubczycki;77;17.00;;;;4;22;178;149;79;57;13;t1602
opolskie;kędzierzyńsko-kozielski;17;1.82;;;;9;40;401;58;19;38;1;t1603
opolskie;kluczborski;10;1.53;;;;6;11;243;32;11;19;2;t1604
opolskie;krapkowicki;9;1.42;;;;7;29;211;32;10;22;0;t1605
opolskie;namysłowski;8;1.87;;;;1;10;130;16;8;8;0;t1606
opolskie;nyski;18;1.33;;;;15;17;370;57;19;38;0;t1607
opolskie;oleski;17;2.65;;;;5;9;240;54;20;33;1;t1608
opolskie;opolski;19;1.53;;;;13;31;445;60;20;40;0;t1609
opolskie;prudnicki;10;1.82;1;;1;3;10;123;37;10;27;0;t1610
opolskie;strzelecki;22;2.97;;;;7;15;388;64;22;42;0;t1611
opolskie;Opole;33;2.58;1;;1;13;65;803;133;34;98;1;t1661
podkarpackie;bieszczadzki;2;0.93;;;;1;2;31;12;2;10;0;t1801
podkarpackie;brzozowski;3;0.46;;;;2;7;119;18;3;15;0;t1802
podkarpackie;dębicki;4;0.30;;;;1;9;169;46;4;42;0;t1803
podkarpackie;jarosławski;15;1.25;2;;2;1;13;306;59;18;38;3;t1804
podkarpackie;jasielski;11;0.97;1;;1;5;9;169;51;12;37;2;t1805
podkarpackie;kolbuszowski;2;0.32;;;;1;3;78;29;3;26;0;t1806
podkarpackie;krośnieński;7;0.62;1;;1;;13;130;47;7;36;4;t1807
podkarpackie;leżajski;2;0.29;;;;4;6;99;19;3;16;0;t1808
podkarpackie;lubaczowski;9;1.64;;;;4;14;246;38;10;27;1;t1809
podkarpackie;łańcucki;18;2.22;1;;1;5;24;239;76;19;57;0;t1810
podkarpackie;mielecki;9;0.66;;;;3;13;173;70;9;61;0;t1811
podkarpackie;niżański;6;0.90;;;;3;8;211;13;6;7;0;t1812
podkarpackie;przemyski;18;2.43;;;;4;4;238;56;20;36;0;t1813
podkarpackie;przeworski;3;0.38;;;;8;3;130;25;6;19;0;t1814
podkarpackie;ropczycko-sędziszowski;2;0.27;;;;1;4;80;28;3;24;1;t1815
podkarpackie;rzeszowski;22;1.29;;;;7;23;405;99;22;75;2;t1816
podkarpackie;sanocki;2;0.21;;;;2;8;96;33;5;28;0;t1817
podkarpackie;stalowowolski;7;0.66;9;1;8;7;37;360;26;9;17;0;t1818
podkarpackie;strzyżowski;7;1.14;1;;1;1;10;134;22;7;15;0;t1819
podkarpackie;tarnobrzeski;8;1.51;;;;5;20;141;25;10;15;0;t1820
podkarpackie;leski;;;2;2;;1;2;50;7;0;6;1;t1821
podkarpackie;Krosno;4;0.87;;;;3;3;80;68;4;63;1;t1861
podkarpackie;Przemyśl;9;1.49;;;;5;9;170;52;11;41;0;t1862
podkarpackie;Rzeszów;33;1.68;;;;20;34;461;182;35;145;2;t1863
podkarpackie;Tarnobrzeg;9;1.93;;;;5;8;122;57;11;46;0;t1864
podlaskie;augustowski;24;4.14;;;;7;12;195;39;25;13;1;t2001
podlaskie;białostocki;23;1.53;;;;26;40;556;111;28;80;3;t2002
podlaskie;bielski;14;2.59;;;;7;11;200;33;14;18;1;t2003
podlaskie;grajewski;15;3.19;;;;5;11;111;39;15;24;0;t2004
podlaskie;hajnowski;15;3.55;;;;7;19;182;23;15;8;0;t2005
podlaskie;kolneński;2;0.53;1;1;;3;4;106;11;2;9;0;t2006
podlaskie;łomżyński;11;2.16;;;;4;6;198;18;12;6;0;t2007
podlaskie;moniecki;7;1.74;;;;4;9;129;21;7;14;0;t2008
podlaskie;sejneński;4;2.02;;;;;;40;10;4;6;0;t2009
podlaskie;siemiatycki;2;0.46;;;;5;13;142;12;3;9;0;t2010
podlaskie;sokólski;2;0.30;;;;17;32;399;12;2;10;0;t2011
podlaskie;suwalski;5;1.40;;;;5;2;130;13;5;8;0;t2012
podlaskie;wysokomazowiecki;4;0.71;;;;2;11;187;21;5;16;0;t2013
podlaskie;zambrowski;14;3.23;;;;7;20;262;29;14;15;0;t2014
podlaskie;Białystok;64;2.15;;;;81;127;1251;251;71;168;12;t2061
podlaskie;Łomża;23;3.66;4;;4;13;35;351;49;25;20;4;t2062
podlaskie;Suwałki;13;1.86;1;;1;6;26;392;35;13;21;1;t2063
pomorskie;bytowski;6;0.76;;;;7;10;308;33;7;24;2;t2201
pomorskie;chojnicki;10;1.02;;;;13;10;346;34;11;23;0;t2202
pomorskie;człuchowski;1;0.18;1;;1;8;27;364;11;1;10;0;t2203
pomorskie;gdański;54;4.52;;;;38;68;1277;200;57;139;4;t2204
pomorskie;kartuski;28;1.99;;;;21;40;723;114;30;84;0;t2205
pomorskie;kościerski;8;1.10;;;;7;26;343;44;11;33;0;t2206
pomorskie;kwidzyński;18;2.17;;;;22;22;479;56;18;38;0;t2207
pomorskie;lęborski;11;1.66;;;;17;18;232;45;11;29;5;t2208
pomorskie;malborski;40;6.31;;;;23;56;780;97;40;57;0;t2209
pomorskie;nowodworski;16;4.51;2;;2;4;13;324;47;16;29;2;t2210
pomorskie;pucki;9;1.03;;;;17;29;677;48;10;38;0;t2211
pomorskie;słupski;31;3.14;;;;15;50;755;97;31;65;1;t2212
pomorskie;starogardzki;12;0.94;1;1;;20;22;706;42;13;27;2;t2213
pomorskie;tczewski;28;2.42;;;;34;21;735;107;29;74;4;t2214
pomorskie;wejherowski;57;2.61;;;;51;74;1301;208;59;146;3;t2215
pomorskie;sztumski;16;3.89;;;;17;13;443;50;17;32;1;t2216
pomorskie;Gdańsk;166;3.52;3;;3;178;233;3937;851;178;637;36;t2261
pomorskie;Gdynia;112;4.56;3;;3;114;132;1596;434;127;297;10;t2262
pomorskie;Słupsk;29;3.21;;;;23;50;840;110;32;75;3;t2263
pomorskie;Sopot;14;3.94;;;;13;8;153;76;14;62;0;t2264
śląskie;będziński;23;1.56;;;;24;29;602;94;25;68;1;t2401
śląskie;bielski;26;1.56;;;;23;45;630;106;26;80;0;t2402
śląskie;cieszyński;23;1.29;1;;1;16;43;549;82;23;59;0;t2403
śląskie;częstochowski;18;1.34;;;;15;28;355;63;20;42;1;t2404
śląskie;gliwicki;14;1.21;;;;11;27;438;67;18;48;1;t2405
śląskie;kłobucki;9;1.07;1;;1;3;8;174;32;10;22;0;t2406
śląskie;lubliniecki;12;1.57;;;;;13;267;35;14;20;1;t2407
śląskie;mikołowski;19;1.92;1;;1;24;25;403;99;19;78;2;t2408
śląskie;myszkowski;10;1.41;;;;4;16;321;41;10;30;1;t2409
śląskie;pszczyński;15;1.34;;;;15;33;273;62;16;46;0;t2410
śląskie;raciborski;2;0.19;;;;10;17;241;13;3;10;0;t2411
śląskie;rybnicki;4;0.51;;;;3;74;204;21;6;15;0;t2412
śląskie;tarnogórski;21;1.49;;;;20;101;543;81;21;57;3;t2413
śląskie;bieruńsko-lędziński;5;0.84;;;;3;18;159;20;5;15;0;t2414
śląskie;wodzisławski;11;0.70;;;;12;33;374;56;14;41;1;t2415
śląskie;zawierciański;10;0.85;;;;22;49;346;53;10;40;3;t2416
śląskie;żywiecki;12;0.79;;;;13;18;432;75;12;63;0;t2417
śląskie;Bielsko-Biała;26;1.53;;;;27;51;627;110;27;81;2;t2461
śląskie;Bytom;49;2.98;;;;31;46;432;134;52;79;3;t2462
śląskie;Chorzów;17;1.58;;;;13;30;293;56;17;39;0;t2463
śląskie;Częstochowa;36;1.64;1;;1;30;42;589;147;36;108;3;t2464
śląskie;Dąbrowa Górnicza;23;1.93;;;;13;30;427;81;24;57;0;t2465
śląskie;Gliwice;41;2.30;;;;27;76;736;144;44;98;2;t2466
śląskie;Jastrzębie-Zdrój;5;0.57;;;;7;18;193;27;5;20;2;t2467
śląskie;Jaworzno;9;0.99;;;;10;19;279;34;9;24;1;t2468
śląskie;Katowice;58;1.99;1;;1;61;96;982;237;63;170;4;t2469
śląskie;Mysłowice;5;0.67;1;1;;12;14;207;23;5;18;0;t2470
śląskie;Piekary Śląskie;13;2.37;2;;2;18;12;259;50;14;33;3;t2471
śląskie;Ruda Śląska;41;2.99;;;;23;55;533;111;44;65;2;t2472
śląskie;Rybnik;14;1.02;;;;16;66;324;41;14;27;0;t2473
śląskie;Siemianowice Śląskie;8;1.20;;;;11;18;191;35;8;26;1;t2474
śląskie;Sosnowiec;31;1.56;6;;6;29;57;578;103;31;72;0;t2475
śląskie;Świętochłowice;5;1.01;2;;2;6;16;136;31;5;25;1;t2476
śląskie;Tychy;43;3.38;2;;2;23;77;535;118;45;73;0;t2477
śląskie;Zabrze;33;1.92;1;;1;30;54;499;114;38;75;1;t2478
śląskie;Żory;4;0.64;;;;4;21;209;28;5;22;1;t2479
świętokrzyskie;buski;4;0.56;2;1;1;;6;114;23;4;17;2;t2601
świętokrzyskie;jędrzejowski;5;0.59;2;;2;8;13;219;31;6;25;0;t2602
świętokrzyskie;kazimierski;2;0.60;;;;2;4;84;17;2;14;1;t2603
świętokrzyskie;kielecki;28;1.33;;;;22;33;311;131;40;78;13;t2604
świętokrzyskie;konecki;2;0.25;;;;6;10;154;23;2;21;0;t2605
świętokrzyskie;opatowski;;;;;;5;15;101;12;0;12;0;t2606
świętokrzyskie;ostrowiecki;6;0.55;;;;9;23;290;22;7;15;0;t2607
świętokrzyskie;pińczowski;1;0.26;;;;1;9;156;15;1;14;0;t2608
świętokrzyskie;sandomierski;4;0.52;;;;10;48;321;25;4;21;0;t2609
świętokrzyskie;skarżyski;2;0.27;;;;6;5;137;33;2;31;0;t2610
świętokrzyskie;starachowicki;3;0.34;1;;1;9;18;192;25;4;21;0;t2611
świętokrzyskie;staszowski;5;0.70;;;;4;7;146;48;5;40;3;t2612
świętokrzyskie;włoszczowski;;;;;;4;5;87;5;0;5;0;t2613
świętokrzyskie;Kielce;27;1.39;;;;22;34;229;168;44;112;12;t2661
warmińsko-mazurskie;bartoszycki;20;3.52;;;;12;29;436;49;27;22;0;t2801
warmińsko-mazurskie;braniewski;9;2.20;;;;8;29;366;26;15;11;0;t2802
warmińsko-mazurskie;działdowski;18;2.77;;;;12;50;527;50;21;29;0;t2803
warmińsko-mazurskie;elbląski;20;3.51;;;;35;57;661;55;23;27;5;t2804
warmińsko-mazurskie;ełcki;4;0.44;;;;25;22;434;29;4;25;0;t2805
warmińsko-mazurskie;giżycki;28;4.96;;;;20;29;460;62;29;32;1;t2806
warmińsko-mazurskie;iławski;30;3.23;;;;35;35;916;99;32;66;1;t2807
warmińsko-mazurskie;kętrzyński;38;6.12;;;;48;50;475;79;38;39;2;t2808
warmińsko-mazurskie;lidzbarski;20;4.87;;;;13;6;227;45;20;25;0;t2809
warmińsko-mazurskie;mrągowski;13;2.62;;;;14;36;313;42;13;27;2;t2810
warmińsko-mazurskie;nidzicki;13;3.97;;;;5;13;292;36;13;20;3;t2811
warmińsko-mazurskie;nowomiejski;9;2.06;;;;9;25;404;44;10;32;2;t2812
warmińsko-mazurskie;olecki;11;3.23;;;;4;21;264;21;11;10;0;t2813
warmińsko-mazurskie;olsztyński;67;5.27;;;;55;66;1238;177;69;106;2;t2814
warmińsko-mazurskie;ostródzki;54;5.20;;;;43;70;1033;143;58;82;3;t2815
warmińsko-mazurskie;piski;26;4.65;;;;11;14;468;57;27;30;0;t2816
warmińsko-mazurskie;szczycieński;19;2.74;;;;22;21;573;62;21;39;2;t2817
warmińsko-mazurskie;gołdapski;2;0.75;;;;5;14;188;6;2;4;0;t2818
warmińsko-mazurskie;węgorzewski;23;10.20;;;;11;6;185;56;23;33;0;t2819
warmińsko-mazurskie;Elbląg;39;3.27;;;;52;120;1278;114;41;69;4;t2861
warmińsko-mazurskie;Olsztyn;144;8.38;;;;131;120;1730;359;151;199;9;t2862
wielkopolskie;chodzieski;8;1.70;;;;2;22;168;24;8;16;0;t3001
wielkopolskie;czarnkowsko-trzcianecki;48;5.53;;;;29;53;741;83;51;31;1;t3002
wielkopolskie;gnieźnieński;43;2.96;3;3;;35;80;756;110;46;63;1;t3003
wielkopolskie;gostyński;12;1.58;;;;5;32;231;32;13;19;0;t3004
wielkopolskie;grodziski;6;1.16;1;;1;2;9;311;20;7;12;1;t3005
wielkopolskie;jarociński;13;1.82;1;;1;2;8;300;41;13;28;0;t3006
