wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Cały kraj;Cały kraj;9077;2.37;244;66;178;7661;13023;181631;35044;9815;24463;766;t0000
dolnośląskie;bolesławiecki;8;0.89;;;;27;34;383;29;8;20;1;t0201
dolnośląskie;dzierżoniowski;10;0.99;;;;4;11;194;25;10;15;0;t0202
dolnośląskie;głogowski;12;1.35;;;;12;16;279;35;12;23;0;t0203
dolnośląskie;górowski;6;1.73;;;;6;8;107;26;8;17;1;t0204
dolnośląskie;jaworski;11;2.20;;;;7;7;124;29;11;17;1;t0205
dolnośląskie;jeleniogórski;40;6.31;;;;10;12;204;99;40;57;2;t0206
dolnośląskie;kamiennogórski;4;0.93;;;;4;6;142;23;6;17;0;t0207
dolnośląskie;kłodzki;10;0.64;;;;9;36;373;72;10;62;0;t0208
dolnośląskie;legnicki;5;0.91;;;;1;5;152;16;5;11;0;t0209
dolnośląskie;lubański;9;1.66;;;;5;11;315;24;9;14;1;t0210
dolnośląskie;lubiński;3;0.28;;;;9;40;363;54;6;48;0;t0211
dolnośląskie;lwówecki;4;0.87;;;;5;7;160;32;5;24;3;t0212
dolnośląskie;milicki;8;2.17;;;;6;21;152;26;8;18;0;t0213
dolnośląskie;oleśnicki;17;1.58;;;;12;32;430;57;19;38;0;t0214
dolnośląskie;oławski;15;1.95;4;3;1;11;18;406;57;17;40;0;t0215
dolnośląskie;polkowicki;2;0.32;;;;6;3;165;9;2;7;0;t0216
dolnośląskie;strzeliński;3;0.69;;;;1;17;149;12;4;8;0;t0217
