wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Cały kraj;Cały kraj;12955;3.38;565;125;440;17657;4928;161160;54230;14149;38997;1084;t0000
dolnośląskie;bolesławiecki;32;3.55;;;;56;7;392;107;37;64;6;t0201
dolnośląskie;dzierżoniowski;13;1.29;2;;2;19;2;197;78;15;62;1;t0202
dolnośląskie;głogowski;21;2.36;2;;2;28;3;276;120;22;96;2;t0203
dolnośląskie;górowski;15;4.32;;;;21;1;101;45;15;29;1;t0204
dolnośląskie;jaworski;11;2.20;;;;7;11;133;35;11;24;0;t0205
dolnośląskie;jeleniogórski;11;1.74;;;;21;6;160;68;15;52;1;t0206
dolnośląskie;kamiennogórski;4;0.93;;;;1;1;84;25;5;19;1;t0207
dolnośląskie;kłodzki;18;1.15;1;;1;34;8;288;140;21;117;2;t0208
dolnośląskie;legnicki;8;1.45;1;1;;12;5;157;48;8;39;1;t0209
dolnośląskie;lubański;21;3.88;;;;28;7;311;46;24;20;2;t0210
dolnośląskie;lubiński;54;5.09;3;;3;42;5;296;198;55;139;4;t0211
dolnośląskie;lwówecki;16;3.50;1;1;;23;6;120;52;17;33;2;t0212
dolnośląskie;milicki;13;3.52;;;;21;1;165;42;15;27;0;t0213
dolnośląskie;oleśnicki;29;2.70;;;;54;8;478;112;30;82;0;t0214
dolnośląskie;oławski;10;1.30;2;1;1;21;6;404;73;11;59;3;t0215
dolnośląskie;polkowicki;18;2.85;1;;1;16;1;141;82;19;59;4;t0216
dolnośląskie;strzeliński;12;2.76;3;2;1;21;3;136;51;12;39;0;t0217
dolnośląskie;średzki;14;2.53;;;;17;5;200;57;14;42;1;t0218
dolnośląskie;świdnicki;29;1.85;1;;1;47;12;716;202;30;168;4;t0219
dolnośląskie;trzebnicki;9;1.05;1;;1;22;4;314;59;10;49;0;t0220
dolnośląskie;wałbrzyski;21;3.79;2;;2;11;18;198;111;25;86;0;t0221
dolnośląskie;wołowski;9;1.93;;;;14;2;215;47;12;35;0;t0222
dolnośląskie;wrocławski;36;2.34;1;;1;73;8;770;185;38;145;2;t0223
dolnośląskie;ząbkowicki;10;1.55;;;;15;4;200;41;12;29;0;t0224
dolnośląskie;zgorzelecki;41;4.62;2;2;;31;10;369;96;45;49;2;t0225
dolnośląskie;złotoryjski;7;1.62;1;1;;8;4;250;32;7;25;0;t0226
dolnośląskie;Jelenia Góra;6;0.76;;;;19;10;270;78;7;68;3;t0261
dolnośląskie;Legnica;19;1.92;3;3;;25;8;443;103;21;79;3;t0262
dolnośląskie;Wrocław;145;2.25;5;;5;280;48;2471;1092;158;913;21;t0264
dolnośląskie;Wałbrzych;22;1.99;;;;30;11;341;266;24;242;0;t0265
kujawsko-pomorskie;aleksandrowski;24;4.36;1;;1;22;3;201;74;41;33;0;t0401
kujawsko-pomorskie;brodnicki;31;3.92;;;;47;8;456;94;32;60;2;t0402
kujawsko-pomorskie;bydgoski;58;4.86;1;;1;155;60;1255;234;60;168;6;t0403
kujawsko-pomorskie;chełmiński;34;6.56;1;;1;46;10;434;112;38;72;2;t0404
kujawsko-pomorskie;golubsko-dobrzyński;14;3.11;1;;1;19;5;169;63;15;47;1;t0405
kujawsko-pomorskie;grudziądzki;36;8.95;1;1;;19;3;390;106;39;61;6;t0406
kujawsko-pomorskie;inowrocławski;119;7.47;;;;116;42;1033;291;123;158;10;t0407
kujawsko-pomorskie;lipnowski;15;2.29;;;;18;11;246;64;15;48;1;t0408
kujawsko-pomorskie;mogileński;19;4.17;;;;18;1;215;56;20;35;1;t0409
kujawsko-pomorskie;nakielski;100;11.60;3;;3;69;5;653;218;101;110;7;t0410
kujawsko-pomorskie;radziejowski;29;7.21;2;;2;16;11;230;49;31;18;0;t0411
kujawsko-pomorskie;rypiński;6;1.38;;;;12;4;119;32;7;19;6;t0412
kujawsko-pomorskie;sępoleński;21;5.13;3;1;2;31;7;322;59;29;29;1;t0413
kujawsko-pomorskie;świecki;69;6.97;9;;9;77;17;760;207;71;128;8;t0414
kujawsko-pomorskie;toruński;86;7.89;2;1;1;87;23;992;239;90;142;7;t0415
kujawsko-pomorskie;tucholski;20;4.14;1;;1;16;3;406;78;22;53;3;t0416
kujawsko-pomorskie;wąbrzeski;14;4.10;1;1;;21;7;204;70;16;54;0;t0417
kujawsko-pomorskie;włocławski;34;3.96;1;;1;44;6;419;88;34;52;2;t0418
kujawsko-pomorskie;żniński;26;3.71;;;;49;17;544;93;30;60;3;t0419
kujawsko-pomorskie;Bydgoszcz;126;3.63;9;;9;424;152;2833;739;148;580;11;t0461
kujawsko-pomorskie;Grudziądz;59;6.27;3;3;;71;22;751;286;67;209;10;t0462
kujawsko-pomorskie;Toruń;137;6.81;6;5;1;193;45;1500;607;141;457;9;t0463
kujawsko-pomorskie;Włocławek;29;2.65;2;;2;48;11;543;88;29;58;1;t0464
lubelskie;bialski;33;2.99;6;3;3;36;3;344;119;34;81;4;t0601
