wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
lubelskie;biłgorajski;20;1.99;2;1;1;20;2;149;101;21;79;1;t0602
lubelskie;chełmski;23;2.96;2;;2;17;5;309;103;24;78;1;t0603
lubelskie;hrubieszowski;29;4.64;;;;35;2;240;119;32;80;7;t0604
lubelskie;janowski;5;1.10;1;;1;7;2;51;34;5;29;0;t0605
lubelskie;krasnostawski;29;4.61;2;2;;35;12;407;98;30;67;1;t0606
lubelskie;kraśnicki;27;2.84;;;;28;8;185;82;28;54;0;t0607
lubelskie;lubartowski;10;1.13;1;1;;18;9;238;81;10;71;0;t0608
lubelskie;lubelski;44;2.82;3;;3;68;17;634;177;46;130;1;t0609
lubelskie;łęczyński;18;3.14;;;;38;2;321;64;19;45;0;t0610
lubelskie;łukowski;6;0.56;1;;1;20;6;188;61;6;55;0;t0611
lubelskie;opolski;9;1.53;2;;2;25;2;274;54;13;40;1;t0612
lubelskie;parczewski;8;2.31;1;;1;13;4;91;34;8;26;0;t0613
lubelskie;puławski;48;4.25;2;1;1;55;13;455;155;51;103;1;t0614
lubelskie;radzyński;3;0.51;;;;15;6;147;66;3;62;1;t0615
lubelskie;rycki;27;4.84;;;;32;4;209;72;30;42;0;t0616
lubelskie;świdnicki;27;3.76;1;1;;49;9;480;104;27;76;1;t0617
lubelskie;tomaszowski;15;1.82;1;;1;26;2;169;67;17;50;0;t0618
lubelskie;włodawski;17;4.45;;;;19;1;136;55;19;36;0;t0619
lubelskie;zamojski;12;1.13;2;;2;14;5;217;74;15;57;2;t0620
lubelskie;Biała Podlaska;23;4.02;1;1;;25;6;173;91;23;65;3;t0661
lubelskie;Chełm;26;4.22;;;;31;11;328;90;26;64;0;t0662
lubelskie;Lublin;132;3.89;6;3;3;201;42;1443;536;141;389;6;t0663
lubelskie;Zamość;18;2.85;3;1;2;23;4;174;107;21;85;1;t0664
lubuskie;gorzowski;32;4.44;;;;41;19;378;134;38;95;1;t0801
lubuskie;krośnieński;27;4.94;;;;27;15;501;65;29;36;0;t0802
lubuskie;międzyrzecki;12;2.09;2;2;;34;13;243;72;14;58;0;t0803
lubuskie;nowosolski;25;2.91;;;;23;5;295;109;28;81;0;t0804
lubuskie;słubicki;31;6.61;;;;44;38;434;96;41;53;2;t0805
lubuskie;strzelecko-drezdenecki;8;1.64;1;1;;31;17;228;51;9;42;0;t0806
lubuskie;sulęciński;21;5.98;;;;30;16;260;89;44;44;1;t0807
lubuskie;świebodziński;24;4.31;1;1;;28;10;321;99;29;69;1;t0808
lubuskie;zielonogórski;27;3.57;2;2;;53;14;417;129;30;97;2;t0809
lubuskie;żagański;8;1.02;1;1;;15;4;233;61;9;51;1;t0810
lubuskie;żarski;34;3.55;;;;42;12;355;91;37;53;1;t0811
lubuskie;wschowski;8;2.06;1;1;;8;6;120;62;9;52;1;t0812
lubuskie;Gorzów Wielkopolski;49;3.97;1;1;;79;23;576;216;62;146;8;t0861
lubuskie;Zielona Góra;43;3.04;2;2;;70;46;775;198;47;151;0;t0862
łódzkie;bełchatowski;12;1.06;2;;2;28;16;266;65;12;53;0;t1001
łódzkie;kutnowski;36;3.75;;;;56;19;467;126;37;88;1;t1002
łódzkie;łaski;2;0.40;;;;9;2;183;27;2;24;1;t1003
łódzkie;łęczycki;25;5.04;;;;39;4;304;100;28;64;8;t1004
łódzkie;łowicki;19;2.44;1;;1;30;4;295;80;21;58;1;t1005
łódzkie;łódzki wschodni;42;5.80;;;;56;15;349;130;44;85;1;t1006
łódzkie;opoczyński;3;0.40;2;1;1;13;3;119;30;4;26;0;t1007
łódzkie;pabianicki;48;4.03;;;;84;38;644;161;52;109;0;t1008
łódzkie;pajęczański;8;1.57;;;;11;;135;45;8;34;3;t1009
łódzkie;piotrkowski;18;1.97;4;3;1;26;6;296;90;19;69;2;t1010
łódzkie;poddębicki;11;2.68;1;;1;13;5;220;59;14;44;1;t1011
łódzkie;radomszczański;19;1.69;;;;26;2;253;113;20;91;2;t1012
łódzkie;rawski;18;3.71;;;;19;3;256;59;21;38;0;t1013
łódzkie;sieradzki;28;2.39;1;1;;45;16;446;138;29;100;9;t1014
łódzkie;skierniewicki;10;2.62;;;;8;;170;31;11;19;1;t1015
łódzkie;tomaszowski;38;3.27;4;;4;47;15;389;123;42;75;6;t1016
łódzkie;wieluński;18;2.37;2;2;;18;2;201;140;30;105;5;t1017
łódzkie;wieruszowski;9;2.14;;;;11;;105;33;10;23;0;t1018
łódzkie;zduńskowolski;7;1.06;3;;3;26;4;204;58;8;46;4;t1019
łódzkie;zgierski;71;4.27;3;;3;96;23;953;251;76;173;2;t1020
łódzkie;brzeziński;2;0.65;;;;14;3;102;25;2;23;0;t1021
łódzkie;Łódź;326;4.81;11;1;10;481;145;3776;1434;359;1023;52;t1061
łódzkie;Piotrków Trybunalski;15;2.06;2;;2;27;8;254;93;21;72;0;t1062
łódzkie;Skierniewice;16;3.34;;;;17;7;230;51;17;34;0;t1063
małopolskie;bocheński;8;0.75;2;;2;11;4;149;88;9;74;5;t1201
małopolskie;brzeski;;;3;1;2;11;2;145;75;2;73;0;t1202
małopolskie;chrzanowski;18;1.45;1;1;;25;15;231;106;19;84;3;t1203
małopolskie;dąbrowski;6;1.01;;;;8;1;51;48;6;42;0;t1204
małopolskie;gorlicki;11;1.01;2;;2;21;2;133;77;11;66;0;t1205
małopolskie;krakowski;56;2.00;1;1;;60;11;627;313;60;239;14;t1206
małopolskie;limanowski;10;0.76;;;;16;3;123;99;12;85;2;t1207
małopolskie;miechowski;2;0.41;1;1;;8;1;44;35;4;29;2;t1208
małopolskie;myślenicki;16;1.25;;;;15;8;163;116;18;95;3;t1209
małopolskie;nowosądecki;6;0.28;;;;15;4;141;123;10;110;3;t1210
małopolskie;nowotarski;14;0.73;;;;8;2;129;145;16;128;1;t1211
małopolskie;olkuski;12;1.08;3;;3;26;4;147;66;14;51;1;t1212
małopolskie;oświęcimski;25;1.63;1;;1;39;5;336;96;26;69;1;t1213
małopolskie;proszowicki;4;0.93;;;;3;;36;40;4;36;0;t1214
małopolskie;suski;15;1.78;;;;12;7;114;87;16;70;1;t1215
małopolskie;tarnowski;20;0.99;2;1;1;20;5;223;115;22;90;3;t1216
małopolskie;tatrzański;9;1.32;1;;1;11;2;65;79;12;67;0;t1217
małopolskie;wadowicki;58;3.63;2;;2;52;9;394;157;63;94;0;t1218
małopolskie;wielicki;33;2.54;2;;2;42;19;319;114;35;77;2;t1219
małopolskie;Kraków;196;2.51;9;9;;249;70;2002;927;213;687;27;t1261
małopolskie;Nowy Sącz;8;0.96;;;;6;8;69;95;12;82;1;t1262
małopolskie;Tarnów;14;1.29;;;;23;5;182;89;14;73;2;t1263
mazowieckie;białobrzeski;7;2.10;;;;25;2;135;24;8;14;2;t1401
mazowieckie;ciechanowski;18;2.02;4;;4;41;9;413;115;19;91;5;t1402
mazowieckie;garwoliński;25;2.29;4;;4;17;6;195;114;28;84;2;t1403
mazowieckie;gostyniński;6;1.34;1;;1;1;3;156;30;7;22;1;t1404
mazowieckie;grodziski;49;5.07;2;;2;87;18;737;175;52;122;1;t1405
mazowieckie;grójecki;22;2.24;1;;1;45;5;807;84;25;56;3;t1406
mazowieckie;kozienicki;18;3.01;;;;23;8;236;68;18;48;2;t1407
mazowieckie;legionowski;39;3.27;1;;1;81;9;771;138;40;93;5;t1408
mazowieckie;lipski;9;2.67;;;;7;2;96;31;9;17;5;t1409
mazowieckie;łosicki;1;0.33;2;;2;11;3;93;29;1;27;1;t1410
mazowieckie;makowski;13;2.91;3;2;1;21;8;189;36;13;23;0;t1411
mazowieckie;miński;23;1.48;3;2;1;67;17;553;197;26;163;8;t1412
mazowieckie;mławski;6;0.83;3;;3;31;4;538;48;8;39;1;t1413
mazowieckie;nowodworski;40;5.04;;;;34;3;351;113;40;73;0;t1414
mazowieckie;ostrołęcki;9;1.02;;;;24;4;233;86;10;72;4;t1415
mazowieckie;ostrowski;18;2.50;1;;1;28;2;218;60;20;36;4;t1416
mazowieckie;otwocki;49;3.94;;;;68;23;581;206;52;146;8;t1417
mazowieckie;piaseczyński;64;3.38;1;;1;155;20;1260;306;73;222;11;t1418
mazowieckie;płocki;9;0.81;;;;48;15;487;70;11;59;0;t1419
mazowieckie;płoński;4;0.46;3;;3;26;13;388;44;4;40;0;t1420
mazowieckie;pruszkowski;66;3.97;;;;113;27;1128;271;76;191;4;t1421
mazowieckie;przasnyski;14;2.67;2;;2;24;3;323;74;14;60;0;t1422
mazowieckie;przysuski;2;0.48;2;;2;6;1;89;23;3;20;0;t1423
mazowieckie;pułtuski;2;0.39;1;;1;9;3;157;36;2;32;2;t1424
mazowieckie;radomski;30;1.97;2;1;1;49;5;336;135;35;98;2;t1425
mazowieckie;siedlecki;14;1.72;1;;1;14;5;222;81;19;60;2;t1426
mazowieckie;sierpecki;7;1.35;1;;1;24;4;246;29;7;22;0;t1427
mazowieckie;sochaczewski;36;4.24;2;;2;49;4;470;134;38;95;1;t1428
mazowieckie;sokołowski;17;3.17;;;;15;2;138;38;17;19;2;t1429
mazowieckie;szydłowiecki;1;0.25;;;;4;2;55;15;2;13;0;t1430
mazowieckie;warszawski zachodni;54;4.52;1;;1;71;19;807;186;58;123;5;t1432
mazowieckie;węgrowski;19;2.89;;;;21;3;228;39;20;17;2;t1433
mazowieckie;wołomiński;90;3.58;;;;139;33;1258;370;99;259;12;t1434
mazowieckie;wyszkowski;11;1.48;5;;5;13;3;213;50;11;38;1;t1435
mazowieckie;zwoleński;4;1.11;1;;1;8;1;102;41;5;35;1;t1436
mazowieckie;żuromiński;4;1.04;;;;11;8;142;25;8;17;0;t1437
mazowieckie;żyrardowski;25;3.31;;;;47;4;388;115;27;87;1;t1438
mazowieckie;Ostrołęka;16;3.08;;;;15;1;125;66;18;43;5;t1461
mazowieckie;Płock;18;1.51;;;;79;19;608;80;19;59;2;t1462
mazowieckie;Radom;96;4.56;4;4;;117;12;586;419;106;304;9;t1463
mazowieckie;Siedlce;8;1.02;3;;3;12;2;237;120;14;105;1;t1464
mazowieckie;Warszawa;637;3.55;26;;26;1043;212;8171;3447;704;2657;86;t1465
opolskie;brzeski;10;1.12;;;;21;11;356;47;11;35;1;t1601
opolskie;głubczycki;21;4.64;3;;3;27;2;168;53;22;28;3;t1602
opolskie;kędzierzyńsko-kozielski;20;2.14;2;;2;29;12;315;92;23;68;1;t1603
opolskie;kluczborski;6;0.92;4;;4;16;8;180;68;20;47;1;t1604
opolskie;krapkowicki;5;0.79;1;;1;9;2;204;53;5;48;0;t1605
opolskie;namysłowski;12;2.81;4;;4;4;1;172;48;13;34;1;t1606
opolskie;nyski;30;2.21;4;3;1;43;24;336;120;36;83;1;t1607
opolskie;oleski;14;2.18;1;;1;10;5;157;77;24;52;1;t1608
opolskie;opolski;23;1.86;2;;2;38;4;402;143;26;116;1;t1609
opolskie;prudnicki;7;1.27;1;;1;7;10;122;55;8;45;2;t1610
opolskie;strzelecki;16;2.16;3;;3;22;10;300;71;20;49;2;t1611
opolskie;Opole;42;3.28;3;;3;51;20;864;234;50;181;3;t1661
podkarpackie;bieszczadzki;6;2.78;;;;2;1;34;26;6;20;0;t1801
podkarpackie;brzozowski;8;1.22;1;;1;6;3;88;62;8;54;0;t1802
podkarpackie;dębicki;10;0.74;;;;9;6;130;100;11;89;0;t1803
podkarpackie;jarosławski;21;1.75;;;;20;4;296;111;26;83;2;t1804
podkarpackie;jasielski;3;0.26;3;;3;17;4;139;54;3;49;2;t1805
podkarpackie;kolbuszowski;4;0.64;;;;16;1;73;40;5;34;1;t1806
podkarpackie;krośnieński;6;0.53;1;;1;10;1;122;74;7;67;0;t1807
podkarpackie;leżajski;7;1.01;1;;1;2;7;86;47;7;39;1;t1808
podkarpackie;lubaczowski;16;2.91;;;;24;6;202;76;18;57;1;t1809
podkarpackie;łańcucki;25;3.08;1;;1;18;3;256;87;25;59;3;t1810
podkarpackie;mielecki;10;0.73;;;;20;5;175;75;15;60;0;t1811
podkarpackie;niżański;8;1.20;;;;15;9;152;39;9;30;0;t1812
podkarpackie;przemyski;11;1.49;;;;9;1;184;53;13;40;0;t1813
podkarpackie;przeworski;4;0.51;4;;4;6;1;129;49;6;42;1;t1814
podkarpackie;ropczycko-sędziszowski;;;;;;6;3;66;32;1;31;0;t1815
podkarpackie;rzeszowski;39;2.29;4;;4;25;4;355;160;41;118;1;t1816
podkarpackie;sanocki;5;0.53;;;;20;1;87;62;5;57;0;t1817
podkarpackie;stalowowolski;13;1.23;1;;1;18;16;284;63;15;47;1;t1818
podkarpackie;strzyżowski;4;0.65;;;;9;5;113;40;4;36;0;t1819
podkarpackie;tarnobrzeski;14;2.65;;;;8;1;144;57;18;39;0;t1820
podkarpackie;leski;1;0.38;1;;1;11;5;55;13;1;12;0;t1821
podkarpackie;Krosno;2;0.43;;;;10;1;40;23;2;19;2;t1861
podkarpackie;Przemyśl;16;2.65;;;;16;15;156;92;17;75;0;t1862
podkarpackie;Rzeszów;28;1.42;2;;2;59;9;433;193;29;163;1;t1863
podkarpackie;Tarnobrzeg;18;3.86;;;;19;3;118;62;26;36;0;t1864
podlaskie;augustowski;19;3.28;1;;1;21;6;216;53;20;29;4;t2001
podlaskie;białostocki;64;4.26;3;;3;63;9;462;206;66;135;5;t2002
podlaskie;bielski;21;3.88;;;;15;3;163;64;21;43;0;t2003
podlaskie;grajewski;7;1.49;;;;9;4;125;39;7;31;1;t2004
podlaskie;hajnowski;15;3.55;1;;1;10;1;125;64;16;47;1;t2005
podlaskie;kolneński;2;0.53;;;;9;1;64;22;2;19;1;t2006
podlaskie;łomżyński;6;1.18;;;;5;1;179;38;6;31;1;t2007
podlaskie;moniecki;14;3.48;;;;10;1;95;28;14;14;0;t2008
podlaskie;sejneński;2;1.01;;;;6;2;44;13;3;9;1;t2009
podlaskie;siemiatycki;3;0.68;;;;8;;95;34;3;31;0;t2010
podlaskie;sokólski;43;6.49;2;;2;32;1;321;81;43;36;2;t2011
podlaskie;suwalski;14;3.93;;;;12;1;113;33;16;17;0;t2012
podlaskie;wysokomazowiecki;11;1.94;2;;2;15;4;179;46;11;35;0;t2013
podlaskie;zambrowski;14;3.23;;;;17;3;200;55;15;40;0;t2014
podlaskie;Białystok;145;4.87;4;;4;180;28;1009;443;149;286;8;t2061
podlaskie;Łomża;30;4.78;1;;1;36;7;289;78;32;43;3;t2062
podlaskie;Suwałki;16;2.29;2;;2;29;5;314;60;17;42;1;t2063
pomorskie;bytowski;25;3.16;;;;20;20;274;147;27;120;0;t2201
pomorskie;chojnicki;8;0.82;;;;31;17;288;63;10;53;0;t2202
pomorskie;człuchowski;31;5.54;3;;3;24;18;303;61;32;28;1;t2203
pomorskie;gdański;80;6.70;1;;1;76;37;971;259;83;172;4;t2204
pomorskie;kartuski;33;2.34;;;;74;21;716;223;38;183;2;t2205
pomorskie;kościerski;22;3.02;;;;22;10;301;89;24;64;1;t2206
pomorskie;kwidzyński;17;2.05;;;;46;16;482;73;20;52;1;t2207
pomorskie;lęborski;15;2.27;;;;35;7;231;91;16;75;0;t2208
pomorskie;malborski;32;5.05;3;2;1;50;58;552;110;32;69;9;t2209
pomorskie;nowodworski;18;5.07;;;;22;4;326;52;19;33;0;t2210
pomorskie;pucki;52;5.96;2;;2;62;19;584;168;54;109;5;t2211
pomorskie;słupski;43;4.35;4;;4;55;22;654;179;49;125;5;t2212
pomorskie;starogardzki;37;2.88;3;2;1;52;11;572;148;43;103;2;t2213
pomorskie;tczewski;36;3.11;11;;11;66;20;678;129;40;89;0;t2214
pomorskie;wejherowski;105;4.80;3;;3;132;67;1297;299;113;185;1;t2215
pomorskie;sztumski;35;8.51;2;;2;23;11;332;74;36;35;3;t2216
pomorskie;Gdańsk;274;5.81;7;1;6;382;162;3554;1265;309;904;52;t2261
pomorskie;Gdynia;158;6.43;2;;2;222;72;1462;556;168;379;9;t2262
pomorskie;Słupsk;69;7.64;2;1;1;53;26;662;300;74;217;9;t2263
pomorskie;Sopot;11;3.09;2;1;1;24;5;162;57;16;37;4;t2264
śląskie;będziński;44;2.98;5;;5;71;7;506;174;49;120;5;t2401
śląskie;bielski;46;2.77;;;;44;8;477;188;50;134;4;t2402
śląskie;cieszyński;47;2.64;;;;54;9;483;230;52;162;16;t2403
śląskie;częstochowski;33;2.46;2;;2;45;6;314;134;33;100;1;t2404
śląskie;gliwicki;34;2.94;3;;3;80;6;439;131;39;89;3;t2405
śląskie;kłobucki;20;2.37;;;;23;8;188;83;23;58;2;t2406
śląskie;lubliniecki;20;2.62;3;;3;34;9;219;77;21;56;0;t2407
śląskie;mikołowski;21;2.12;2;;2;33;8;354;125;25;100;0;t2408
śląskie;myszkowski;22;3.11;1;1;;19;1;237;88;23;64;1;t2409
śląskie;pszczyński;28;2.51;1;;1;32;1;278;84;28;54;2;t2410
śląskie;raciborski;17;1.58;1;;1;23;11;179;74;22;52;0;t2411
śląskie;rybnicki;6;0.77;1;;1;17;2;179;75;7;67;1;t2412
śląskie;tarnogórski;64;4.55;;;;66;10;469;220;71;146;3;t2413
śląskie;bieruńsko-lędziński;13;2.17;2;1;1;14;4;135;49;14;35;0;t2414
śląskie;wodzisławski;35;2.23;;;;44;4;295;145;47;95;3;t2415
śląskie;zawierciański;22;1.88;1;;1;38;9;362;119;24;89;6;t2416
śląskie;żywiecki;65;4.26;1;;1;42;5;453;169;65;100;4;t2417
śląskie;Bielsko-Biała;53;3.11;1;;1;54;16;588;221;56;159;6;t2461
śląskie;Bytom;70;4.26;;;;83;13;477;279;73;202;4;t2462
śląskie;Chorzów;37;3.44;4;;4;39;5;289;115;40;74;1;t2463
śląskie;Częstochowa;68;3.10;3;;3;77;22;591;334;71;254;9;t2464
śląskie;Dąbrowa Górnicza;34;2.86;4;;4;54;15;394;125;34;90;1;t2465
śląskie;Gliwice;58;3.26;6;;6;110;18;654;219;60;156;3;t2466
śląskie;Jastrzębie-Zdrój;6;0.68;;;;27;4;154;66;6;59;1;t2467
śląskie;Jaworzno;9;0.99;1;;1;14;7;246;52;11;40;1;t2468
śląskie;Katowice;100;3.43;3;;3;134;31;856;398;107;285;6;t2469
śląskie;Mysłowice;11;1.47;1;;1;19;4;210;68;11;56;1;t2470
śląskie;Piekary Śląskie;21;3.83;1;;1;34;4;205;68;23;43;2;t2471
śląskie;Ruda Śląska;53;3.87;5;;5;62;8;499;165;57;107;1;t2472
śląskie;Rybnik;28;2.03;4;;4;50;13;336;116;32;81;3;t2473
śląskie;Siemianowice Śląskie;15;2.25;;;;20;5;168;72;15;56;1;t2474
śląskie;Sosnowiec;35;1.76;1;;1;70;16;555;196;42;152;2;t2475
śląskie;Świętochłowice;21;4.25;1;;1;26;3;145;66;21;44;1;t2476
śląskie;Tychy;75;5.89;5;;5;63;17;478;188;79;107;2;t2477
śląskie;Zabrze;43;2.50;2;;2;68;8;479;186;53;131;2;t2478
śląskie;Żory;25;3.99;;;;18;8;206;71;27;44;0;t2479
świętokrzyskie;buski;5;0.70;2;1;1;5;4;113;40;6;34;0;t2601
świętokrzyskie;jędrzejowski;15;1.76;;;;15;4;185;81;17;62;2;t2602
świętokrzyskie;kazimierski;3;0.90;;;;16;2;69;26;3;23;0;t2603
świętokrzyskie;kielecki;19;0.90;4;;4;33;17;271;126;20;102;4;t2604
świętokrzyskie;konecki;6;0.75;1;;1;5;2;130;62;6;55;1;t2605
świętokrzyskie;opatowski;4;0.77;1;;1;17;4;112;39;4;33;2;t2606
świętokrzyskie;ostrowiecki;21;1.94;3;;3;44;13;275;103;28;70;5;t2607
świętokrzyskie;pińczowski;1;0.26;;;;1;2;84;11;1;9;1;t2608
świętokrzyskie;sandomierski;22;2.87;2;;2;36;9;298;104;25;78;1;t2609
świętokrzyskie;skarżyski;5;0.68;1;;1;18;15;114;53;5;47;1;t2610
świętokrzyskie;starachowicki;8;0.90;1;;1;19;8;241;60;13;46;1;t2611
świętokrzyskie;staszowski;18;2.51;2;;2;9;6;164;129;19;110;0;t2612
świętokrzyskie;włoszczowski;2;0.45;;;;4;3;69;38;2;36;0;t2613
świętokrzyskie;Kielce;30;1.54;3;;3;54;20;256;214;33;174;7;t2661
warmińsko-mazurskie;bartoszycki;51;8.96;4;1;3;23;3;358;109;53;56;0;t2801
warmińsko-mazurskie;braniewski;19;4.64;1;;1;38;7;280;45;19;25;1;t2802
warmińsko-mazurskie;działdowski;33;5.08;1;;1;23;4;470;120;36;84;0;t2803
warmińsko-mazurskie;elbląski;55;9.64;1;;1;53;12;600;104;55;46;3;t2804
warmińsko-mazurskie;ełcki;24;2.62;;;;48;21;385;151;25;126;0;t2805
warmińsko-mazurskie;giżycki;54;9.56;;;;36;3;373;100;55;45;0;t2806
warmińsko-mazurskie;iławski;36;3.88;1;;1;89;16;708;175;36;135;4;t2807
warmińsko-mazurskie;kętrzyński;41;6.61;1;;1;39;4;387;98;44;54;0;t2808
warmińsko-mazurskie;lidzbarski;38;9.26;;;;21;2;199;93;38;55;0;t2809
warmińsko-mazurskie;mrągowski;28;5.64;;;;28;;260;347;29;311;7;t2810
warmińsko-mazurskie;nidzicki;17;5.19;1;;1;28;1;251;67;17;45;5;t2811
warmińsko-mazurskie;nowomiejski;26;5.94;;;;36;9;334;73;26;44;3;t2812
warmińsko-mazurskie;olecki;16;4.70;;;;18;8;226;40;16;23;1;t2813
warmińsko-mazurskie;olsztyński;97;7.63;;;;111;21;1160;325;104;215;6;t2814
warmińsko-mazurskie;ostródzki;87;8.37;1;;1;101;19;938;197;93;101;3;t2815
warmińsko-mazurskie;piski;37;6.61;;;;59;5;428;105;37;68;0;t2816
warmińsko-mazurskie;szczycieński;44;6.35;2;;2;68;9;407;107;46;61;0;t2817
warmińsko-mazurskie;gołdapski;17;6.38;1;1;;12;3;170;24;17;7;0;t2818
warmińsko-mazurskie;węgorzewski;31;13.74;;;;24;;173;73;31;42;0;t2819
warmińsko-mazurskie;Elbląg;101;8.48;1;;1;159;30;1035;228;105;111;12;t2861
warmińsko-mazurskie;Olsztyn;136;7.91;;;;195;52;1429;521;144;368;9;t2862
