county_name;teryt;vacs_total;vacs_daily_mean;vacs_2nd_dose_total;vacs_2nd_dose_daily_mean;total_tests_performed;total_sick_count;total_deaths
bełchatowski;t1001;106991.0;217.46;38085.0;77.41;68426.0;10608.0;349.0
kutnowski;t1002;122438.0;248.86;46864.0;95.25;65866.0;10661.0;267.0
łaski;t1003;47951.0;97.46;18259.0;37.11;31256.0;4226.0;104.0
łęczycki;t1004;70609.0;143.51;26495.0;53.85;41787.0;5577.0;110.0
łowicki;t1005;116429.0;236.64;46496.0;94.5;54753.0;8360.0;215.0
łódzki wschodni;t1006;60088.0;122.13;19503.0;39.64;68187.0;10679.0;127.0
opoczyński;t1007;77383.0;157.28;29349.0;59.65;40691.0;3563.0;154.0
pabianicki;t1008;160176.0;325.56;57135.0;116.13;108641.0;18191.0;434.0
pajęczański;t1009;36909.0;75.02;12401.0;25.21;31947.0;4307.0;159.0
piotrkowski;t1010;70287.0;142.86;26008.0;52.86;61535.0;8020.0;237.0
poddębicki;t1011;46263.0;94.03;17975.0;36.53;28963.0;4259.0;125.0
radomszczański;t1012;122743.0;249.48;45682.0;92.85;77446.0;10687.0;427.0
rawski;t1013;42237.0;85.85;15443.0;31.39;31026.0;4409.0;124.0
sieradzki;t1014;140504.0;285.58;51727.0;105.14;78648.0;11494.0;321.0
skierniewicki;t1015;30280.0;61.54;12044.0;24.48;22891.0;3822.0;78.0
tomaszowski;t1016;113923.0;231.55;44748.0;90.95;74263.0;10242.0;450.0
wieluński;t1017;112236.0;228.12;44380.0;90.2;52373.0;7100.0;191.0
wieruszowski;t1018;46548.0;94.61;16672.0;33.89;20693.0;3081.0;121.0
zduńskowolski;t1019;72144.0;146.63;25965.0;52.77;46235.0;7080.0;187.0
zgierski;t1020;187052.0;380.19;66250.0;134.65;156233.0;23131.0;494.0
brzeziński;t1021;46195.0;93.89;18340.0;37.28;22610.0;3712.0;58.0
Łódź;t1061;1193675.0;2426.17;446706.0;907.94;773398.0;114778.0;2238.0
Piotrków Trybunalski;t1062;114053.0;231.82;40328.0;81.97;56901.0;7244.0;259.0
Skierniewice;t1063;95321.0;193.74;35433.0;72.02;38202.0;6834.0;114.0
bocheński;t1201;107472.0;218.44;39324.0;79.93;74480.0;10999.0;203.0
brzeski;t1202;93158.0;189.35;35402.0;71.96;67203.0;7723.0;230.0
chrzanowski;t1203;153449.0;311.89;54540.0;110.85;78158.0;14412.0;329.0
dąbrowski;t1204;57387.0;116.64;22306.0;45.34;27469.0;4086.0;224.0
gorlicki;t1205;115217.0;234.18;44085.0;89.6;65159.0;7532.0;290.0
krakowski;t1206;231958.0;471.46;84223.0;171.18;219089.0;40471.0;532.0
limanowski;t1207;123256.0;250.52;46520.0;94.55;71069.0;7077.0;285.0
miechowski;t1208;77415.0;157.35;31319.0;63.66;23724.0;4460.0;122.0
myślenicki;t1209;137626.0;279.73;53520.0;108.78;71942.0;11637.0;271.0
nowosądecki;t1210;171424.0;348.42;63349.0;128.76;112895.0;12466.0;443.0
nowotarski;t1211;175739.0;357.19;66173.0;134.5;102634.0;9421.0;386.0
olkuski;t1212;150799.0;306.5;55628.0;113.07;63040.0;12091.0;225.0
oświęcimski;t1213;175239.0;356.18;62699.0;127.44;83696.0;16589.0;431.0
proszowicki;t1214;59140.0;120.2;23008.0;46.76;24583.0;4088.0;94.0
suski;t1215;96889.0;196.93;36533.0;74.25;55735.0;6638.0;207.0
tarnowski;t1216;129085.0;262.37;49294.0;100.19;109544.0;15648.0;295.0
tatrzański;t1217;49262.0;100.13;18822.0;38.26;46209.0;4311.0;176.0
wadowicki;t1218;162903.0;331.1;57700.0;117.28;84677.0;15475.0;428.0
wielicki;t1219;165657.0;336.7;58322.0;118.54;90624.0;18422.0;219.0
Kraków;t1261;1588443.0;3228.54;597603.0;1214.64;705648.0;126813.0;1864.0
Nowy Sącz;t1262;95200.0;193.5;33986.0;69.08;49798.0;6230.0;267.0
Tarnów;t1263;166192.0;337.79;59432.0;120.8;67073.0;11498.0;236.0
białobrzeski;t1401;47265.0;96.07;18922.0;38.46;21221.0;3507.0;49.0
ciechanowski;t1402;108365.0;220.25;40919.0;83.17;60577.0;9139.0;212.0
garwoliński;t1403;117263.0;238.34;45456.0;92.39;70683.0;9101.0;267.0
gostyniński;t1404;40098.0;81.5;15250.0;31.0;26728.0;3983.0;151.0
grodziski;t1405;130449.0;265.14;47569.0;96.68;100909.0;18555.0;199.0
grójecki;t1406;141158.0;286.91;55093.0;111.98;80115.0;12477.0;207.0
kozienicki;t1407;62439.0;126.91;23296.0;47.35;45984.0;7713.0;152.0
legionowski;t1408;124086.0;252.21;39484.0;80.25;112285.0;22681.0;239.0
lipski;t1409;35329.0;71.81;13556.0;27.55;20212.0;2986.0;86.0
łosicki;t1410;26405.0;53.67;10095.0;20.52;16792.0;2157.0;107.0
makowski;t1411;53437.0;108.61;20372.0;41.41;21167.0;3186.0;136.0
miński;t1412;182494.0;370.92;65723.0;133.58;124191.0;19205.0;360.0
mławski;t1413;82722.0;168.13;31308.0;63.63;47688.0;5759.0;223.0
nowodworski;t1414;138975.0;282.47;55270.0;112.34;58577.0;10175.0;216.0
ostrołęcki;t1415;67374.0;136.94;26080.0;53.01;34466.0;6204.0;174.0
ostrowski;t1416;67624.0;137.45;27034.0;54.95;36263.0;5143.0;241.0
otwocki;t1417;134604.0;273.59;49715.0;101.05;113871.0;20656.0;233.0
piaseczyński;t1418;299305.0;608.34;109070.0;221.69;194774.0;35030.0;328.0
płocki;t1419;111063.0;225.74;44403.0;90.25;66340.0;10962.0;237.0
płoński;t1420;105371.0;214.17;40516.0;82.35;57525.0;8534.0;210.0
pruszkowski;t1421;165244.0;335.86;58337.0;118.57;172444.0;30930.0;448.0
przasnyski;t1422;57324.0;116.51;23391.0;47.54;31618.0;5175.0;207.0
przysuski;t1423;41319.0;83.98;15478.0;31.46;22035.0;3339.0;111.0
pułtuski;t1424;59359.0;120.65;23889.0;48.55;29937.0;4816.0;149.0
radomski;t1425;91525.0;186.03;34410.0;69.94;97316.0;14464.0;254.0
siedlecki;t1426;42208.0;85.79;16566.0;33.67;47009.0;7186.0;230.0
sierpecki;t1427;59694.0;121.33;23324.0;47.41;29925.0;4580.0;112.0
sochaczewski;t1428;110548.0;224.69;42133.0;85.64;76654.0;12550.0;166.0
sokołowski;t1429;59514.0;120.96;22633.0;46.0;28282.0;4055.0;183.0
szydłowiecki;t1430;30671.0;62.34;10885.0;22.12;22058.0;2939.0;72.0
warszawski zachodni;t1432;174410.0;354.49;61595.0;125.19;120748.0;22040.0;201.0
węgrowski;t1433;64294.0;130.68;25074.0;50.96;36056.0;6145.0;187.0
wołomiński;t1434;314635.0;639.5;111067.0;225.75;213867.0;41301.0;383.0
wyszkowski;t1435;87174.0;177.18;33471.0;68.03;39981.0;7011.0;202.0
zwoleński;t1436;37148.0;75.5;14990.0;30.47;23792.0;3620.0;80.0
żuromiński;t1437;39748.0;80.79;15826.0;32.17;21619.0;2667.0;67.0
żyrardowski;t1438;83063.0;168.83;30447.0;61.88;63970.0;9929.0;241.0
Ostrołęka;t1461;93976.0;191.01;37094.0;75.39;27223.0;5262.0;146.0
Płock;t1462;185206.0;376.43;66326.0;134.81;90053.0;14851.0;390.0
Radom;t1463;317305.0;644.93;118304.0;240.46;172957.0;23639.0;608.0
Siedlce;t1464;151913.0;308.77;60332.0;122.63;58900.0;9440.0;306.0
Warszawa;t1465;3479379.0;7071.91;1253963.0;2548.71;2073074.0;334371.0;3955.0
brzeski;t1601;85508.0;173.8;31118.0;63.25;45487.0;9870.0;196.0
głubczycki;t1602;55458.0;112.72;21271.0;43.23;38068.0;6046.0;190.0
kędzierzyńsko-kozielski;t1603;109329.0;222.21;41028.0;83.39;68944.0;14065.0;327.0
kluczborski;t1604;67809.0;137.82;24228.0;49.24;37825.0;6524.0;178.0
krapkowicki;t1605;137772.0;280.02;49713.0;101.04;46619.0;7246.0;167.0
namysłowski;t1606;42724.0;86.84;15658.0;31.83;23139.0;4769.0;124.0
nyski;t1607;126005.0;256.11;48889.0;99.37;96435.0;16386.0;368.0
oleski;t1608;67070.0;136.32;25565.0;51.96;38949.0;5385.0;158.0
opolski;t1609;95583.0;194.27;34841.0;70.82;89951.0;14381.0;278.0
prudnicki;t1610;55168.0;112.13;21256.0;43.2;35867.0;5753.0;166.0
strzelecki;t1611;79171.0;160.92;28606.0;58.14;57643.0;8690.0;168.0
Opole;t1661;255452.0;519.21;96029.0;195.18;128638.0;20637.0;495.0
bieszczadzki;t1801;15178.0;30.85;5696.0;11.58;15921.0;2022.0;93.0
brzozowski;t1802;48807.0;99.2;20009.0;40.67;42750.0;4129.0;184.0
dębicki;t1803;80626.0;163.87;29930.0;60.83;72746.0;10132.0;401.0
jarosławski;t1804;89144.0;181.19;31734.0;64.5;86393.0;9720.0;344.0
jasielski;t1805;87539.0;177.92;30672.0;62.34;73606.0;8304.0;315.0
kolbuszowski;t1806;29760.0;60.49;11668.0;23.72;38998.0;3889.0;139.0
krośnieński;t1807;67006.0;136.19;25981.0;52.81;62154.0;7948.0;325.0
leżajski;t1808;51247.0;104.16;18924.0;38.46;45084.0;5662.0;179.0
lubaczowski;t1809;38047.0;77.33;13483.0;27.4;37307.0;4471.0;146.0
łańcucki;t1810;58164.0;118.22;22460.0;45.65;58329.0;9434.0;319.0
mielecki;t1811;112094.0;227.83;45321.0;92.12;80583.0;12475.0;372.0
niżański;t1812;44322.0;90.09;17331.0;35.23;39317.0;5598.0;135.0
przemyski;t1813;25071.0;50.96;9562.0;19.43;50415.0;6247.0;175.0
przeworski;t1814;43196.0;87.8;16123.0;32.77;50695.0;7269.0;217.0
ropczycko-sędziszowski;t1815;53010.0;107.74;20257.0;41.17;37582.0;4409.0;177.0
rzeszowski;t1816;75507.0;153.47;28105.0;57.12;120658.0;18204.0;383.0
sanocki;t1817;48637.0;98.86;17283.0;35.13;63464.0;7095.0;351.0
stalowowolski;t1818;96637.0;196.42;37080.0;75.37;66577.0;9402.0;345.0
strzyżowski;t1819;37969.0;77.17;14913.0;30.31;37047.0;5044.0;175.0
tarnobrzeski;t1820;24865.0;50.54;8517.0;17.31;37651.0;4551.0;168.0
leski;t1821;13824.0;28.1;5117.0;10.4;18751.0;2568.0;90.0
Krosno;t1861;64521.0;131.14;23835.0;48.45;31647.0;4214.0;185.0
Przemyśl;t1862;72319.0;146.99;25020.0;50.85;49417.0;6283.0;193.0
Rzeszów;t1863;689122.0;1400.65;280185.0;569.48;182080.0;28808.0;499.0
Tarnobrzeg;t1864;84033.0;170.8;31478.0;63.98;41922.0;5310.0;159.0
augustowski;t2001;57710.0;117.3;21352.0;43.4;33758.0;5123.0;246.0
białostocki;t2002;92377.0;187.76;33878.0;68.86;112748.0;19164.0;337.0
bielski;t2003;50510.0;102.66;18947.0;38.51;34119.0;5813.0;169.0
grajewski;t2004;29283.0;59.52;10318.0;20.97;24954.0;3325.0;101.0
hajnowski;t2005;41406.0;84.16;15387.0;31.27;29585.0;4440.0;214.0
kolneński;t2006;30503.0;62.0;11827.0;24.04;17154.0;2710.0;130.0
łomżyński;t2007;20284.0;41.23;8198.0;16.66;21166.0;4201.0;163.0
moniecki;t2008;33203.0;67.49;12511.0;25.43;21859.0;3034.0;91.0
sejneński;t2009;15284.0;31.07;5711.0;11.61;8500.0;1759.0;78.0
siemiatycki;t2010;42237.0;85.85;16655.0;33.85;25562.0;3254.0;116.0
sokólski;t2011;62337.0;126.7;23452.0;47.67;30977.0;6002.0;196.0
suwalski;t2012;12336.0;25.07;4494.0;9.13;15807.0;2656.0;113.0
wysokomazowiecki;t2013;65887.0;133.92;25844.0;52.53;27991.0;4031.0;153.0
zambrowski;t2014;41188.0;83.72;14929.0;30.34;25713.0;3487.0;96.0
Białystok;t2061;502003.0;1020.33;189670.0;385.51;235554.0;41229.0;655.0
Łomża;t2062;95242.0;193.58;36584.0;74.36;35521.0;7492.0;211.0
Suwałki;t2063;76322.0;155.13;25847.0;52.53;38747.0;6419.0;224.0
bytowski;t2201;87349.0;177.54;34290.0;69.7;51373.0;6658.0;139.0
chojnicki;t2202;127681.0;259.51;46544.0;94.6;52504.0;9189.0;198.0
człuchowski;t2203;58319.0;118.53;20485.0;41.64;34874.0;5657.0;161.0
gdański;t2204;97665.0;198.51;32588.0;66.24;113215.0;21601.0;214.0
kartuski;t2205;135075.0;274.54;51518.0;104.71;106298.0;16926.0;242.0
kościerski;t2206;85996.0;174.79;32359.0;65.77;58032.0;7046.0;194.0
kwidzyński;t2207;93022.0;189.07;34388.0;69.89;56728.0;10346.0;213.0
lęborski;t2208;82795.0;168.28;29819.0;60.61;51098.0;7308.0;114.0
malborski;t2209;63234.0;128.52;22781.0;46.3;51899.0;9221.0;172.0
nowodworski;t2210;43762.0;88.95;15907.0;32.33;26187.0;4776.0;88.0
pucki;t2211;83610.0;169.94;30617.0;62.23;65560.0;13141.0;181.0
słupski;t2212;68385.0;138.99;24445.0;49.68;74617.0;11405.0;287.0
starogardzki;t2213;144503.0;293.71;53636.0;109.02;76668.0;14895.0;314.0
tczewski;t2214;129098.0;262.39;44227.0;89.89;84620.0;15889.0;360.0
wejherowski;t2215;232706.0;472.98;85382.0;173.54;180757.0;28247.0;575.0
sztumski;t2216;58719.0;119.35;21267.0;43.23;30211.0;5245.0;93.0
Gdańsk;t2261;1050410.0;2134.98;400417.0;813.86;510954.0;90127.0;1321.0
Gdynia;t2262;419360.0;852.36;143140.0;290.93;234389.0;43812.0;605.0
Słupsk;t2263;169836.0;345.2;62085.0;126.19;85066.0;12899.0;338.0
Sopot;t2264;116730.0;237.26;46582.0;94.68;38227.0;5246.0;95.0
będziński;t2401;152466.0;309.89;53669.0;109.08;114207.0;21201.0;397.0
