county_name;teryt;vacs_total;vacs_daily_mean;vacs_2nd_dose_total;vacs_2nd_dose_daily_mean;total_tests_performed;total_sick_count;total_deaths
międzychodzki;t3014;46192.0;93.89;17830.0;36.24;25263.0;3878.0;81.0
nowotomyski;t3015;80813.0;164.25;30425.0;61.84;46628.0;10122.0;201.0
obornicki;t3016;99374.0;201.98;36117.0;73.41;34373.0;7691.0;145.0
ostrowski;t3017;171734.0;349.05;60677.0;123.33;87979.0;16604.0;392.0
ostrzeszowski;t3018;58741.0;119.39;21468.0;43.63;27116.0;4064.0;136.0
pilski;t3019;148101.0;301.02;54654.0;111.09;80976.0;15488.0;315.0
pleszewski;t3020;84200.0;171.14;32283.0;65.62;33135.0;5627.0;177.0
poznański;t3021;321154.0;652.75;109768.0;223.11;399863.0;87207.0;963.0
rawicki;t3022;78412.0;159.37;28234.0;57.39;34340.0;6415.0;173.0
słupecki;t3023;61565.0;125.13;22993.0;46.73;29161.0;7799.0;146.0
szamotulski;t3024;104698.0;212.8;35943.0;73.05;61487.0;14561.0;229.0
średzki;t3025;89271.0;181.45;34136.0;69.38;37440.0;9393.0;162.0
śremski;t3026;54072.0;109.9;19806.0;40.26;37568.0;7617.0;154.0
turecki;t3027;85848.0;174.49;32257.0;65.56;42711.0;7527.0;204.0
wągrowiecki;t3028;43612.0;88.64;15555.0;31.62;37884.0;7351.0;221.0
wolsztyński;t3029;76543.0;155.58;28275.0;57.47;34233.0;5772.0;147.0
wrzesiński;t3030;94429.0;191.93;34157.0;69.42;46750.0;11990.0;230.0
złotowski;t3031;61984.0;125.98;22352.0;45.43;39245.0;7913.0;133.0
Kalisz;t3061;146608.0;297.98;54466.0;110.7;56295.0;8806.0;265.0
Konin;t3062;148314.0;301.45;54269.0;110.3;43244.0;8320.0;268.0
Leszno;t3063;111104.0;225.82;37925.0;77.08;40784.0;7406.0;226.0
Poznań;t3064;1423270.0;2892.83;535159.0;1087.72;569409.0;114559.0;1642.0
białogardzki;t3201;56287.0;114.4;21571.0;43.84;29174.0;5809.0;97.0
choszczeński;t3202;53151.0;108.03;19034.0;38.69;27046.0;4992.0;103.0
drawski;t3203;80581.0;163.78;30043.0;61.06;41351.0;6594.0;147.0
goleniowski;t3204;90717.0;184.38;32394.0;65.84;69909.0;12548.0;194.0
gryficki;t3205;50131.0;101.89;17731.0;36.04;39211.0;7038.0;199.0
gryfiński;t3206;83869.0;170.47;30608.0;62.21;109462.0;12390.0;161.0
kamieński;t3207;62688.0;127.41;22866.0;46.48;30093.0;5263.0;111.0
kołobrzeski;t3208;76445.0;155.38;25741.0;52.32;60964.0;11043.0;279.0
koszaliński;t3209;47684.0;96.92;17435.0;35.44;47898.0;8567.0;133.0
myśliborski;t3210;60516.0;123.0;22004.0;44.72;48499.0;7690.0;147.0
policki;t3211;76724.0;155.94;27506.0;55.91;79856.0;16737.0;150.0
pyrzycki;t3212;40749.0;82.82;15295.0;31.09;35883.0;4866.0;115.0
sławieński;t3213;70695.0;143.69;26856.0;54.59;37572.0;7030.0;190.0
stargardzki;t3214;127054.0;258.24;44676.0;90.8;83638.0;16435.0;252.0
szczecinecki;t3215;112609.0;228.88;41097.0;83.53;51953.0;10009.0;212.0
świdwiński;t3216;54353.0;110.47;18534.0;37.67;26075.0;4674.0;112.0
wałecki;t3217;50003.0;101.63;18526.0;37.65;31808.0;5831.0;157.0
łobeski;t3218;74172.0;150.76;23295.0;47.35;21941.0;4314.0;114.0
Koszalin;t3261;177033.0;359.82;62911.0;127.87;96191.0;16554.0;305.0
Szczecin;t3262;776855.0;1578.97;284326.0;577.9;421926.0;77679.0;997.0
Świnoujście;t3263;56897.0;115.64;20934.0;42.55;38692.0;5790.0;110.0
